SITE_ID,YEAR,DATEON,DATEOFF,SO2_CONC,SO4_CONC,NO3_CONC
CDR119,2018,01/02/18,01/01/19,0.401,1.099,0.298
PAR107,2018,01/02/18,01/01/19,0.489,1.124,0.459
CDR119,2017,01/03/17,01/02/18,0.586,1.212,0.321
CDR119,2016,12/29/15,01/03/17,0.599,1.325,0.264
PSU106,2018,01/02/18,01/01/19,0.644,1.231,1.076
PAR107,2017,01/03/17,01/02/18,0.651,1.22,0.473
KEF112,2018,01/02/18,01/01/19,0.652,1.132,0.589
LRL117,2018,01/02/18,01/01/19,0.662,1.221,0.476
PAR107,2016,12/29/15,01/03/17,0.704,1.383,0.425
MKG113,2018,01/02/18,01/01/19,0.707,1.2,0.871
ARE128,2018,01/02/18,01/01/19,0.723,1.217,1.173
KEF112,2017,01/03/17,01/02/18,0.795,1.12,0.541
LRL117,2017,01/03/17,01/02/18,0.837,1.287,0.506
KEF112,2016,12/29/15,01/03/17,0.906,1.203,0.479
MKG113,2017,01/03/17,01/02/18,0.907,1.204,0.829
LRL117,2016,12/29/15,01/03/17,0.909,1.41,0.406
PSU106,2017,01/03/17,01/02/18,0.914,1.253,1.02
ARE128,2017,01/03/17,01/02/18,0.931,1.18,1.164
CDR119,2015,12/30/14,12/29/15,1.047,1.762,0.291
PAR107,2015,12/30/14,12/29/15,1.076,1.796,0.442
MKG113,2016,12/29/15,01/03/17,1.17,1.327,0.743
PSU106,2016,12/29/15,01/03/17,1.226,1.336,0.919
ARE128,2016,12/29/15,01/03/17,1.237,1.384,1.134
KEF112,2015,12/30/14,12/29/15,1.708,1.662,0.531
MKG113,2015,12/30/14,12/29/15,1.952,1.802,0.843
ARE128,2015,12/30/14,12/29/15,1.961,1.813,1.248
PSU106,2015,12/30/14,12/29/15,2.397,1.894,1.074
